
OrderId,CusId,CustomerName,ProductID,ProductName,CatID,Category,ProductPrice,Qty,PayType,Valid,DatePurchased,CountryID,Country,Website
4474,17,Christopher Michel,30,Samsung Dryer,8,Appliances,799,2,Check,Valid,2020-09-04,27,Burkina Faso,www.Amazon.com
8765,37,Elizabeth kind,33,Hamilton Beach Microwave,8,Appliances,79,2,Internet Banking,Valid,2021-11-14,57,Tobago,www.Amazon.com
5390,59,Isabella Willford,14,Xbox Series S,7,Video games,499,2,Internet Banking,Invalid,2021-02-13,50,Portugal,www.Amazon.com
532,29,Justice Rage,10,Sony Home theater,6,Home theater,499,2,Internet Banking,Valid,2019-05-04,50,Portugal,www.Amazon.com
9163,32,Kliff Undersn,17,Sony External Hard drive,3,Computers,99,1,Card,Invalid,2021-02-09,34,Channel Islands,www.Wal-Mart.com
1563,58,Mia pena,21,S22 cell phone,2,Phones,1299,1,Card,Valid,2021-03-22,32,Canada,www.Amazon.com
7899,5,Micheal Gus,6,Sony Phone,2,Phones,1199,1,Internet Banking,Valid,2022-01-07,23,Botswana,www.Amazon.com
2761,17,Christopher Michel,4,Dell Computer,3,Computers,599,1,Internet Banking,Valid,2020-06-13,9,Austria,www.Samsung.com
3160,71,Elcy Jean,31,Maytag Washer,8,Appliances,899,2,Check,Invalid,2020-12-17,59,Turkey,www.Wal-Mart.com
7178,7,Morgan Freeman,1,Samsung Tablet,1,Tablets,299,1,Check,Valid,2019-09-12,57,Tobago,www.Wal-Mart.com
5966,36,Rudy Derr,12,Xbox Series X,7,Video games,599,2,Check,Valid,2021-02-12,39,Congo,www.Amazon.com
3167,29,Justice Rage,29,Samsung Washer,8,Appliances,799,1,Internet Banking,Valid,2021-08-05,9,Austria,www.Wal-Mart.com
3669,71,Elcy Jean,5,Sony Speakers,4,Audio,299,1,Internet Banking,Valid,2022-03-25,13,Barbados,www.Wal-Mart.com
3751,57,Evelyn Michels,30,Samsung Dryer,8,Appliances,799,2,Check,Invalid,2021-03-11,35,Chile,www.Samsung.com
6056,42,Sherry Cher,7,IPhone 13,2,Phones,1299,1,Check,Valid,2019-02-01,24,Brazil,www.Samsung.com
2399,4,Ken Masters,27,Samsung Refrigerator,8,Appliances,599,2,Check,Valid,2020-11-29,2,Albania,www.Samsung.com
9569,2,Danny hue,19,Sony FlatScreen TV,9,TV's,1199,1,Check,Valid,2019-04-11,41,Germany,www.Wal-Mart.com
8318,5,Micheal Gus,1,Samsung Tablet,1,Tablets,299,2,Check,Valid,2020-02-12,27,Burkina Faso,www.Amazon.com
5534,8,Sherrell Lattes,17,Sony External Hard drive,3,Computers,99,2,Card,Valid,2021-09-03,12,Bangladesh,www.Wal-Mart.com
5959,37,Elizabeth kind,31,Maytag Washer,8,Appliances,899,2,Check,Valid,2020-08-09,54,South Africa,www.Wal-Mart.com
6624,60,Amelia Crawford,16,Airpods,5,Headphones,199,2,Card,Invalid,2019-04-04,17,Benin,www.Samsung.com
6489,51,Karen Starrs,8,Beats Headphones,5,Headphones,399,1,Internet Banking,Valid,2022-04-16,45,Indonesia,www.Amazon.com
8718,62,Emma Streak,8,Beats Headphones,5,Headphones,399,1,Card,Invalid,2022-01-17,41,Germany,www.Samsung.com
6318,60,Amelia Crawford,25,Xbox Controller,7,Video games,49,1,Check,Invalid,2020-07-09,54,South Africa,www.Wal-Mart.com
7002,66,Jean Hazel,24,PlayStation Controller,7,Video games,49,2,Internet Banking,Invalid,2019-06-30,23,Botswana,www.Wal-Mart.com
4343,33,Faust Williams,26,Optiplex 990 Desktop,3,Computers,499,2,Card,Invalid,2021-10-17,3,Algeria,www.Samsung.com
3454,2,Danny hue,5,Sony Speakers,4,Audio,299,1,Card,Valid,2021-09-24,47,Japan,www.Wal-Mart.com
6740,11,Abel don,8,Beats Headphones,5,Headphones,399,2,Card,Valid,2022-05-07,57,Tobago,www.Samsung.com
4203,2,Danny hue,6,Sony Phone,2,Phones,1199,2,Card,Invalid,2022-03-03,3,Algeria,www.Amazon.com
5334,33,Faust Williams,6,Sony Phone,2,Phones,1199,2,Card,Valid,2020-09-06,32,Canada,www.Amazon.com
